"LOC" "A" "spattemp_cluster" "samplingpair" "prop_forest_500" "prop_grassland_500" "prop_crop_500" "prop_sealed_500" "height"
"Bellinzona, Via Sasso Corbaro" 2001 "2001_1" NA 0.2581 0.1044 0.1145 0.3098 413.7
"Bellinzona, Via Sasso Corbaro" 2002 "2002_1" NA 0.2559 0.1033 0.1089 0.312 413.7
"Bellinzona, Via Sasso Corbaro" 2003 "2003_1" NA 0.2536 0.1021 0.1033 0.3143 413.7
"Biasca-Loderio, Bolla, Wald" 1992 "1992_1" 1 0.7315 0.0216 0 0.037 354.3
"Biasca-Loderio, Bolla, Wald" 1995 "1995_1" 1 0.7654 0.0247 0 0.037 354.3
"Biasca-Loderio, Bolla, Wald" 2000 "2000_2" 1 0.7654 0.0303 0 0.037 354.3
"Biasca-Loderio, Bolla, Wald" 2004 "2004_1" 1 0.7654 0.0348 0 0.037 354.3
"Biasca-Loderio, Bolla, Wald" 2005 "2005_1" 1 0.7654 0.0359 0 0.037 354.3
"Biasca-Loderio, Bolla, Wald" 2006 "2006_1" 1 0.7654 0.037 0 0.037 354.3
"Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 1992 "1992_1" 1 0.2809 0.1049 0 0.0864 347.5
"Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 1995 "1995_1" 1 0.284 0.1111 0 0.0864 347.5
"Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 1998 "1998_1" 1 0.3075 0.0875 0 0.0898 347.5
"Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 1999 "1999_2" 1 0.3154 0.0797 0 0.0909 347.5
"Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 2004 "2004_1" 1 0.3547 0.0404 0 0.0965 347.5
"Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 2005 "2005_1" 1 0.3625 0.0325 0 0.0976 347.5
"Biasca-Loderio, Mte Bella, Ostfuss, Brenno-Ufer" 2006 "2006_1" 1 0.3704 0.0247 0 0.0988 347.5
"Boncourt, La Rochette (sud), l'Allaine" 2009 "2009_1" 3 0.3827 0.2126 0.2071 0.0988 375.5
"Boncourt, La Rochette (sud), l'Allaine" 2010 "2010_1" 3 0.3827 0.2195 0.2003 0.0988 375.5
"Boncourt, La Rochette (sud), l'Allaine" 2011 "2011_1" 3 0.3827 0.2263 0.1934 0.0988 375.5
"Bonfol, Bois les Boulats (nord-ouest), Les étangs (ouest)" 2006 "2006_2" 2 0.4198 0.1481 0.1975 0.0494 437.2
"Bonfol, Bois les Boulats (nord-ouest), Les étangs (ouest)" 2007 "2007_1" 2 0.4198 0.1481 0.1975 0.0494 437.2
"Bonfol, Bois les Boulats (nord-ouest), Les étangs (ouest)" 2008 "2008_1" 2 0.4198 0.1481 0.1975 0.0494 437.2
"Bonfol, Troncheré (sud), Les étangs (est)" 2006 "2006_2" 2 0.8889 0 0 0 441.6
"Bonfol, Troncheré (sud), Les étangs (est)" 2007 "2007_1" 2 0.8889 0 0 0 441.6
"Bonfol, Troncheré (sud), Les étangs (est)" 2008 "2008_1" 2 0.8889 0 0 0 441.6
"Braunwald, Gumen, Berggasthaus" 2008 "2008_2" NA 0 0.2099 0 0 2020
"Braunwald, Gumen, Berggasthaus" 2009 "2009_2" NA 0 0.2099 0 0 2020
"Braunwald, Gumen, Berggasthaus" 2010 "2010_2" NA 0 0.2099 0 0 2020
"Braunwald, Gumen, Berggasthaus" 2011 "2011_2" NA 0 0.2099 0 0 2020
"Brisen, Haldigrat, Restaurant" 1972 "1972_1" NA 0.0864 0.8889 0 0.0123 1924.1
"Brisen, Haldigrat, Restaurant" 1973 "1973_1" NA 0.0864 0.8889 0 0.0123 1924.1
"Brisen, Haldigrat, Restaurant" 1974 "1974_1" NA 0.0864 0.8889 0 0.0123 1924.1
"Brisen, Haldigrat, Restaurant" 1975 "1975_1" NA 0.0864 0.8889 0 0.0123 1924.1
"Buix, Sous les Cantons (ouest)" 2009 "2009_1" 3 0.5679 0.1962 0.0329 0.1043 408.8
"Buix, Sous les Cantons (ouest)" 2010 "2010_1" 3 0.5679 0.1989 0.0288 0.1056 408.8
"Buix, Sous les Cantons (ouest)" 2011 "2011_1" 3 0.5679 0.2016 0.0247 0.107 408.8
"Camedo (Centovalli), Süd, Wiese" 2015 "2015_1" 4 0.7037 0.037 0.0123 0.1111 528.7
"Camedo (Centovalli), Süd, Wiese" 2016 "2016_1" 4 0.7037 0.037 0.0123 0.1111 528.7
"Camedo (Centovalli), Süd, Wiese" 2017 "2017_1" 4 0.7037 0.037 0.0123 0.1111 528.7
"Camedo (Centovalli), Süd, Wiese" 2018 "2018_1" 4 0.7037 0.037 0.0123 0.1111 528.7
"Camedo (Centovalli), West, Wald" 2015 "2015_1" 4 0.7632 0.0132 0.0132 0.1053 601.8
"Camedo (Centovalli), West, Wald" 2016 "2016_1" 4 0.7632 0.0132 0.0132 0.1053 601.8
"Camedo (Centovalli), West, Wald" 2017 "2017_1" 4 0.7632 0.0132 0.0132 0.1053 601.8
"Camedo (Centovalli), West, Wald" 2018 "2018_1" 4 0.7632 0.0132 0.0132 0.1053 601.8
"Caslano, Mt. Caslano, Cimalmonte, SW-Seite" 2015 "2015_2" 5 0.6567 0 0 0.0597 479.9
"Caslano, Mt. Caslano, Cimalmonte, SW-Seite" 2016 "2016_2" 5 0.6567 0 0 0.0597 479.9
"Caslano, Mt. Caslano, Cimalmonte, SW-Seite" 2017 "2017_2" 5 0.6567 0 0 0.0597 479.9
"Caslano, Mt. Caslano, Cimalmonte, SW-Seite" 2018 "2018_2" 5 0.6567 0 0 0.0597 479.9
"Caslano, Mt. Caslano, Nordseite" 2015 "2015_2" 5 0.6914 0 0 0.1646 389.7
"Caslano, Mt. Caslano, Nordseite" 2016 "2016_2" 5 0.6914 0 0 0.1632 389.7
"Caslano, Mt. Caslano, Nordseite" 2017 "2017_2" 5 0.6914 0 0 0.1619 389.7
"Caslano, Mt. Caslano, Nordseite" 2018 "2018_2" 5 0.6914 0 0 0.1605 389.7
"Caslano, Mt. Caslano, Ostseite (Stremanode-Süd)" 2015 "2015_2" 5 0.6502 0 0 0.0494 342.4
"Caslano, Mt. Caslano, Ostseite (Stremanode-Süd)" 2016 "2016_2" 5 0.6516 0 0 0.0494 342.4
"Caslano, Mt. Caslano, Ostseite (Stremanode-Süd)" 2017 "2017_2" 5 0.6529 0 0 0.0494 342.4
"Caslano, Mt. Caslano, Ostseite (Stremanode-Süd)" 2018 "2018_2" 5 0.6543 0 0 0.0494 342.4
"Caslano, Mt. Caslano, Piatta-Ost, Uferweg" 2011 "2011_3" 5 0.5337 0 0 0.0152 289.4
"Caslano, Mt. Caslano, Piatta-Ost, Uferweg" 2012 "2012_1" 5 0.5354 0 0 0.0152 289.4
"Caslano, Mt. Caslano, Piatta-Ost, Uferweg" 2013 "2013_1" 5 0.537 0 0 0.0152 289.4
"Caslano, Mt. Caslano, Piatta-Ost, Uferweg" 2014 "2014_1" 5 0.5387 0 0 0.0152 289.4
"Caslano, Mt. Caslano, Südostfuss, Uferweg" 1987 "1987_1" 5 0.4192 0 0 0.0152 273.8
"Caslano, Mt. Caslano, Südostfuss, Uferweg" 1988 "1988_2" 5 0.4217 0 0 0.0152 273.8
"Caslano, Mt. Caslano, Südostfuss, Uferweg" 1989 "1989_2" 5 0.4242 0 0 0.0152 273.8
"Caslano, Mt. Caslano, Südostfuss, Uferweg" 2006 "2006_3" 5 0.4394 0 0 0.0152 273.8
"Caslano, Mt. Caslano, Südostfuss, Uferweg" 2011 "2011_3" 5 0.4428 0 0 0.0152 273.8
"Caslano, Mt. Caslano, Südostfuss, Uferweg" 2012 "2012_1" 5 0.4444 0 0 0.0152 273.8
"Caslano, Mt. Caslano, Südostfuss, Uferweg" 2013 "2013_1" 5 0.4461 0 0 0.0152 273.8
"Caslano, Mt. Caslano, Südostfuss, Uferweg" 2014 "2014_1" 5 0.4478 0 0 0.0152 273.8
"Cevio, Bignasco, Süd, Wald" 2011 "2011_4" 6 0.62 0.1852 0.0123 0 432.8
"Cevio, Bignasco, Süd, Wald" 2012 "2012_2" 6 0.6255 0.1852 0.0123 0 432.8
"Cevio, Bignasco, Süd, Wald" 2013 "2013_2" 6 0.631 0.1852 0.0123 0 432.8
"Cevio, Bignasco, Süd, Wald" 2014 "2014_2" 6 0.6365 0.1852 0.0123 0 432.8
"Cevio, Bignasco, Süd, Wald" 2015 "2015_1" 6 0.642 0.1852 0.0123 0 432.8
"Cevio, Bignasco, Süd, Wald" 2016 "2016_1" 6 0.642 0.1852 0.0123 0 432.8
"Cevio, Bignasco, Süd, Wald" 2017 "2017_1" 6 0.642 0.1852 0.0123 0 432.8
"Cevio, Bignasco, Süd, Wiese" 2011 "2011_4" 6 0.62 0.1852 0.0123 0 432.8
"Cevio, Bignasco, Süd, Wiese" 2012 "2012_2" 6 0.6255 0.1852 0.0123 0 432.8
"Cevio, Bignasco, Süd, Wiese" 2013 "2013_2" 6 0.631 0.1852 0.0123 0 432.8
"Cevio, Bignasco, Süd, Wiese" 2014 "2014_2" 6 0.6365 0.1852 0.0123 0 432.8
"Cevio, Bignasco, Süd, Wiese" 2015 "2015_1" 6 0.642 0.1852 0.0123 0 432.8
"Cevio, Bignasco, Süd, Wiese" 2016 "2016_1" 6 0.642 0.1852 0.0123 0 432.8
"Cevio, Bignasco, Süd, Wiese" 2017 "2017_1" 6 0.642 0.1852 0.0123 0 432.8
"Chasseral, Nordwesthang" 1985 "1985_1" NA 0.0123 0.9753 0 0.0123 1555.6
"Chasseral, Nordwesthang" 1986 "1986_1" NA 0.0123 0.9753 0 0.0123 1555.6
"Chasseral, Nordwesthang" 1987 "1987_2" NA 0.0123 0.9753 0 0.0123 1555.6
"Chasseral, Südosthang, Bahnstation" 1981 "1981_4" NA 0.0617 0.9383 0 0 1527.9
"Chasseral, Südosthang, Bahnstation" 1982 "1982_4" NA 0.0617 0.9383 0 0 1527.9
"Chasseral, Südosthang, Bahnstation" 1983 "1983_3" NA 0.0617 0.9383 0 0 1527.9
"Chasseral, Südosthang, Bahnstation" 1984 "1984_2" NA 0.0617 0.9383 0 0 1527.9
"Chéserex, Chalet de la Dôle" 2012 "2012_3" NA 0.0617 0.8395 0 0 1431
"Chevenez, Combe Vaillay (nord)" 2006 "2006_2" 7 0.3224 0.4266 0.2455 0.0027 478.4
"Chevenez, Combe Vaillay (nord)" 2007 "2007_1" 7 0.3237 0.4211 0.2442 0.0055 478.4
"Chevenez, Combe Vaillay (nord)" 2008 "2008_1" 7 0.3251 0.4156 0.2428 0.0082 478.4
"Chevenez, Le Tchâfouè (sud)" 2006 "2006_2" NA 0.2853 0.2318 0.3896 0.0384 488.2
"Chevenez, Le Tchâfouè (sud)" 2007 "2007_1" NA 0.2867 0.2291 0.3841 0.0398 488.2
"Chevenez, Le Tchâfouè (sud)" 2008 "2008_1" NA 0.2881 0.2263 0.3786 0.0412 488.2
"Col des Rangiers (West), Wald" 2012 "2012_4" 8 0.5556 0.3827 0 0.037 857.4
"Col des Rangiers (West), Wald" 2013 "2013_3" 8 0.5556 0.3827 0 0.037 857.4
"Col des Rangiers (West), Wald" 2014 "2014_3" 8 0.5556 0.3827 0 0.037 857.4
"Col des Rangiers (West), Wiese" 2012 "2012_4" 8 0.4568 0.4938 0 0.0123 861.5
"Col des Rangiers (West), Wiese" 2013 "2013_3" 8 0.4568 0.4938 0 0.0123 861.5
"Col des Rangiers (West), Wiese" 2014 "2014_3" 8 0.4568 0.4938 0 0.0123 861.5
"Coldrerio, Valle della Motta, Molino" 1988 "1988_2" NA 0.3663 0.249 0.1502 0.0545 288.3
"Coldrerio, Valle della Motta, Molino" 1989 "1989_2" NA 0.3704 0.2469 0.1481 0.0556 288.3
"Coldrerio, Valle della Motta, Molino" 1990 "1990_3" NA 0.3745 0.2449 0.1461 0.0566 288.3
"Contone, Alla Monda, Moorwald" 1981 "1981_5" 14 0.2469 0.1975 0.2099 0.037 200.8
"Contone, Alla Monda, Moorwald" 1982 "1982_5" 14 0.2469 0.1975 0.2099 0.037 200.8
"Contone, Alla Monda, Moorwald" 1983 "1983_4" 14 0.2469 0.1975 0.2099 0.037 200.8
"Contone, Alla Monda, Moorwald" 1984 "1984_3" 14 0.2479 0.1975 0.2109 0.037 200.8
"Contone, Alla Monda, Moorwald" 1993 "1993_1" 14 0.2572 0.1975 0.2202 0.037 200.8
"Contone, Alla Monda, Moorwald" 1994 "1994_1" 14 0.2582 0.1975 0.2212 0.037 200.8
"Contone, Alla Monda, Moorwald" 1995 "1995_2" 14 0.2593 0.1975 0.2222 0.037 200.8
"Cragno, Alpe di Pree" 1994 "1994_2" NA 0.8004 0.1872 0 0.0123 970
"Cragno, Alpe di Pree" 1995 "1995_3" NA 0.8025 0.1852 0 0.0123 970
"Cragno, Alpe di Pree" 1996 "1996_1" NA 0.8025 0.1852 0 0.0123 970
"Dalpe, Bedrina" 2000 "2000_2" NA 0.4871 0.3771 0 0.0247 1233.4
"Dalpe, Bedrina" 2001 "2001_2" NA 0.4882 0.376 0 0.0247 1233.4
"Dalpe, Bedrina" 2002 "2002_2" NA 0.4893 0.3749 0 0.0247 1233.4
"Dalpe, Bedrina" 2003 "2003_2" NA 0.4905 0.3737 0 0.0247 1233.4
"Dalpe, Bedrina" 2004 "2004_1" NA 0.4916 0.3726 0 0.0247 1233.4
"Ebikon, Rotseeried" 2003 "2003_3" NA 0.1235 0.2298 0.0617 0.3219 420.2
"Ebikon, Rotseeried" 2004 "2004_2" NA 0.1235 0.2279 0.0617 0.3248 420.2
"Eigental, Forrenmoos, östlicher Rand" 1982 "1982_3" NA 0.2233 0.5535 0 0.0988 965.4
"Eigental, Forrenmoos, östlicher Rand" 1983 "1983_5" NA 0.2243 0.5514 0 0.0988 965.4
"Eigental, Forrenmoos, westlicher Teil" 1984 "1984_4" NA 0.2716 0.571 0 0.0494 968.4
"Elm, Obererbs, Matt, Skihütte" 2011 "2011_2" 10 0.0898 0.8519 0 0.0123 1705
"Elm, Obererbs, Matt, Skihütte" 2012 "2012_5" 10 0.0909 0.8519 0 0.0123 1705
"Elm, Obererbs, Matt, Skihütte" 2013 "2013_4" 10 0.092 0.8519 0 0.0123 1705
"Elm, Untererbs, Bünenboden" 2011 "2011_2" 10 0.6824 0.2963 0 0 1540.9
"Elm, Untererbs, Bünenboden" 2012 "2012_5" 10 0.6835 0.2963 0 0 1540.9
"Elm, Untererbs, Bünenboden" 2013 "2013_4" 10 0.6846 0.2963 0 0 1540.9
"Elm, Untererbs, Bünenboden" 2014 "2014_4" 10 0.6857 0.2963 0 0 1540.9
"Engi, Mülibachtal, Eingangschlucht, Kraftwerk" 2005 "2005_2" 11 0.2346 0.5926 0.0123 0.0954 866.2
"Engi, Mülibachtal, Eingangschlucht, Kraftwerk" 2006 "2006_4" 11 0.2346 0.5926 0.0123 0.0965 866.2
"Engi, Mülibachtal, Eingangschlucht, Kraftwerk" 2007 "2007_2" 11 0.2346 0.5926 0.0123 0.0976 866.2
"Engi, Mülibachtal, Müslenwald" 2005 "2005_2" 11 0.7685 0.1852 0 0.0216 1024.2
"Engi, Mülibachtal, Müslenwald" 2006 "2006_4" 11 0.7675 0.1852 0 0.0226 1024.2
"Engi, Mülibachtal, Müslenwald" 2007 "2007_2" 11 0.7665 0.1852 0 0.0237 1024.2
"Engi, Mülibachtal, Müslenwald" 2008 "2008_2" 11 0.7654 0.1852 0 0.0247 1024.2
"Ettiswil, Grundmatt" 1981 "1981_6" NA 0 0.2346 0.4815 0.1975 517.6
"Ettiswil, Grundmatt" 1982 "1982_6" NA 0 0.2346 0.4796 0.1985 517.6
"Fronalpstock, Kulm" 1979 "1979_1" NA 0.0494 0.4691 0 0 1878.2
"Fronalpstock, Kulm" 1980 "1980_1" NA 0.0494 0.4691 0 0 1878.2
"Fronalpstock, Kulm" 1981 "1981_2" NA 0.0494 0.4691 0 0 1878.2
"Fronalpstock, Oberfeld" 1982 "1982_2" NA 0.0247 0.4815 0 0 1857.1
"Fronalpstock, Oberfeld" 1983 "1983_2" NA 0.0247 0.4815 0 0 1857.1
"Fronalpstock, Oberfeld" 1984 "1984_5" NA 0.0247 0.4815 0 0 1857.1
"Fronalpstock, Oberfeld" 1985 "1985_2" NA 0.0247 0.4815 0 0 1857.1
"Fronalpstock, Oberfeld" 1986 "1986_2" NA 0.0267 0.4815 0 0 1857.1
"Fronalpstock, Oberfeld" 1987 "1987_3" NA 0.0288 0.4815 0 0 1857.1
"Gandria, Scapi" 1979 "1979_2" NA 0.5679 0 0 0.0494 399.2
"Gandria, Scapi" 1980 "1980_2" NA 0.5679 0 0 0.0494 399.2
"Gandria, Scapi" 1981 "1981_5" NA 0.5679 0 0 0.0494 399.2
"Gersau, Oberholz" 1976 "1976_1" NA 0.5432 0.0494 0.0247 0.0617 632.6
"Gersau, Oberholz" 1978 "1978_1" NA 0.5432 0.0494 0.0247 0.0617 632.6
"Gersau, Oberholz" 1979 "1979_1" NA 0.5432 0.0494 0.0247 0.0617 632.6
"Gersau, Oberholz" 1980 "1980_1" NA 0.5432 0.0494 0.0247 0.0617 632.6
"Gersau, Oberholz" 1981 "1981_2" NA 0.5432 0.0494 0.0247 0.0617 632.6
"Gersau, Oberholz" 1983 "1983_2" NA 0.5432 0.0514 0.0226 0.0597 632.6
"Gersau, Oberholz" 1984 "1984_5" NA 0.5432 0.0525 0.0216 0.0586 632.6
"Gingins, La Barillette" 2013 "2013_5" NA 0.642 0.3333 0 0 1444.8
"Giswil, Hanenriet, Ostrand, Schilf" 1998 "1998_2" NA 0.1605 0.3069 0.0168 0.0626 470
"Giswil, Hanenriet, Ostrand, Schilf" 1999 "1999_3" NA 0.1605 0.3016 0.0176 0.0653 470
"Giswil, Hanenriet, Ostrand, Schilf" 2000 "2000_3" NA 0.1605 0.2963 0.0185 0.0679 470
"Giswil, Hanenriet, Unter Ried" 1997 "1997_1" NA 0 0.5679 0.0088 0.0511 471.1
"Giswil, Hanenriet, Unter Ried" 1998 "1998_2" NA 0 0.5679 0.0079 0.0547 471.1
"Giswil, Hanenriet, Unter Ried" 1999 "1999_3" NA 0 0.5679 0.0071 0.0582 471.1
"Gola di Lago, Betuletum" 1999 "1999_1" 13 0.5838 0.1534 0 0.037 965.3
"Gola di Lago, Betuletum" 2000 "2000_1" 13 0.5908 0.1517 0 0.037 965.3
"Gola di Lago, Betuletum" 2001 "2001_1" 13 0.5979 0.1499 0 0.037 965.3
"Gola di Lago, Betuletum" 2002 "2002_1" 13 0.6049 0.1481 0 0.037 965.3
"Gola di Lago, Betuletum" 2003 "2003_1" 13 0.612 0.1464 0 0.037 965.3
"Gola di Lago, Betuletum" 2004 "2004_3" 13 0.619 0.1446 0 0.037 965.3
"Gola di Lago, Sphagnetum" 1999 "1999_1" 13 0.4603 0.2487 0 0.0335 969.7
"Gola di Lago, Sphagnetum" 2000 "2000_1" 13 0.4674 0.246 0 0.0326 969.7
"Gola di Lago, Sphagnetum" 2001 "2001_1" 13 0.4744 0.2434 0 0.0317 969.7
"Gola di Lago, Sphagnetum" 2002 "2002_1" 13 0.4815 0.2407 0 0.0309 969.7
"Gola di Lago, Sphagnetum" 2003 "2003_1" 13 0.4885 0.2381 0 0.03 969.7
"Gola di Lago, Sphagnetum" 2004 "2004_3" 13 0.4956 0.2354 0 0.0291 969.7
"Gordevio, Saleggio" 1979 "1979_3" NA 0.5062 0.2593 0.0494 0.0123 296.3
"Gordevio, Saleggio" 1980 "1980_3" NA 0.5062 0.2593 0.0494 0.0123 296.3
"Gordevio, Saleggio" 1986 "1986_3" NA 0.5031 0.2531 0.0494 0.0216 296.3
"Gotthard-Hospiz" 1979 "1979_4" NA 0 0.5185 0 0.0864 2087.4
"Gotthard-Hospiz" 1980 "1980_4" NA 0 0.5185 0 0.0864 2087.4
"Gotthard-Hospiz" 1981 "1981_1" NA 0 0.5185 0 0.0864 2087.4
"Gotthard-Hospiz, Ostseite" 1994 "1994_3" NA 0 0.4444 0 0.0247 2143.5
"Gotthard-Hospiz, Ostseite" 1998 "1998_3" NA 0 0.4403 0 0.0288 2143.5
"Gotthard-Hospiz, Ostseite" 1999 "1999_4" NA 0 0.4393 0 0.0298 2143.5
"Gudo, Malacarne, Casa Panoramica, Via Caneggio, Wald" 2008 "2008_3" 15 0.5556 0.0343 0.321 0.0617 364.5
"Gudo, Malacarne, Casa Panoramica, Via Caneggio, Wald" 2009 "2009_3" 15 0.5556 0.0329 0.321 0.0617 364.5
"Gudo, Malacarne, Casa Panoramica, Via Caneggio, Wald" 2010 "2010_3" 15 0.5556 0.0316 0.321 0.0617 364.5
"Gudo, Malacarne, Casa Panoramica, Via Caneggio, Wald" 2011 "2011_5" 15 0.5556 0.0302 0.321 0.0617 364.5
"Gudo, Malacarne, Casa Romantica, Via Caneggio, Rebberg" 2008 "2008_3" 15 0.5158 0.0343 0.2716 0.0864 365.9
"Gudo, Malacarne, Casa Romantica, Via Caneggio, Rebberg" 2009 "2009_3" 15 0.5144 0.0329 0.2716 0.0864 365.9
"Gudo, Malacarne, Casa Romantica, Via Caneggio, Rebberg" 2010 "2010_3" 15 0.513 0.0316 0.2716 0.0864 365.9
"Gudo, Malacarne, Casa Romantica, Via Caneggio, Rebberg" 2011 "2011_5" 15 0.5117 0.0302 0.2716 0.0864 365.9
"Hallau-Egg, Litihof" 1980 "1980_5" NA 0.1605 0.4444 0.321 0.0494 521.7
"Hallau-Egg, Litihof" 1981 "1981_7" NA 0.1605 0.4444 0.321 0.0494 521.7
"Hasle, Hochmoor Balmoos" 1975 "1975_2" NA 0.5062 0.4568 0 0 964.2
"Hasle, Hochmoor Balmoos" 1976 "1976_2" NA 0.5062 0.4568 0 0 964.2
"Hasle, Hochmoor Balmoos" 1977 "1977_1" NA 0.5062 0.4568 0 0 964.2
"Hasle, Hochmoor Balmoos" 1978 "1978_2" NA 0.5062 0.4568 0 0 964.2
"Hochdorf, Siedereiteich" 1978 "1978_3" NA 0.0741 0.1852 0.4321 0.1605 465.7
"Hochdorf, Siedereiteich" 1979 "1979_5" NA 0.0741 0.1852 0.4321 0.1605 465.7
"Hochdorf, Siedereiteich" 1980 "1980_6" NA 0.0741 0.1852 0.4321 0.1605 465.7
"Horw LU, Haltiwald, Scheidhaldenstrasse, Waldrandgebiet" 2020 "2020_1" 16 0.4938 0.1111 0 0.0864 463.3
"Horw LU, Haltiwald, Scheidhaldenstrasse, Waldrandgebiet" 2021 "2021_1" 16 0.4938 0.1111 0 0.0864 463.3
"Horw LU, Haltiwald, Schwendelbergstrasse, Waldesinnere" 2020 "2020_1" 16 0.4444 0.1111 0 0.1235 469.2
"Horw LU, Haltiwald, Schwendelbergstrasse, Waldesinnere" 2021 "2021_1" 16 0.4444 0.1111 0 0.1235 469.2
"Hospental, Südrand" 1981 "1981_1" NA 0.2858 0.4416 0 0.0617 1499.5
"Hospental, Südrand" 1982 "1982_1" NA 0.2877 0.4387 0 0.0617 1499.5
"Hospental, Südrand" 1983 "1983_1" NA 0.2896 0.4359 0 0.0617 1499.5
"Hospental, Südrand" 1984 "1984_1" NA 0.2915 0.433 0 0.0617 1499.5
"Ins, Landwirtschaftliche Schule Seeland" 1977 "1977_2" NA 0.0123 0.0247 0.8642 0.0494 431.6
"Ins, Landwirtschaftliche Schule Seeland" 1979 "1979_6" NA 0.0123 0.0247 0.8642 0.0494 431.6
"Ins, Landwirtschaftliche Schule Seeland" 1980 "1980_7" NA 0.0123 0.0247 0.8642 0.0494 431.6
"Ins, Landwirtschaftliche Schule Seeland" 1981 "1981_4" NA 0.0123 0.0247 0.8642 0.0494 431.6
"Ins, Landwirtschaftliche Schule Seeland" 1982 "1982_4" NA 0.0134 0.0247 0.8642 0.0494 431.6
"Ins, Landwirtschaftliche Schule Seeland" 1983 "1983_3" NA 0.0144 0.0247 0.8642 0.0494 431.6
"Ins, Landwirtschaftliche Schule Seeland" 1984 "1984_2" NA 0.0154 0.0247 0.8642 0.0494 431.6
"Ins, Landwirtschaftliche Schule Seeland" 1985 "1985_1" NA 0.0165 0.0247 0.8642 0.0494 431.6
"Ins, Landwirtschaftliche Schule Seeland" 1986 "1986_1" NA 0.0175 0.0247 0.8642 0.0494 431.6
"Isleten, Hoch Flue, Saum" 2007 "2007_3" NA 0.5432 0 0 0.0741 605.7
"Isleten, Hoch Flue, Saum" 2009 "2009_4" NA 0.5432 0 0 0.0713 605.7
"Isleten, Hoch Flue, Saum" 2010 "2010_4" NA 0.5432 0 0 0.07 605.7
"Isleten, Hoch Flue, Saum" 2011 "2011_6" NA 0.5432 0 0 0.0686 605.7
"Isleten, Hoch Flue, Saum" 2012 "2012_6" NA 0.5432 0 0 0.0672 605.7
"Isleten, Hoch Flue, Saum" 2013 "2013_6" NA 0.5432 0 0 0.0658 605.7
"Isleten, Hoch Flue, Saum" 2014 "2014_5" NA 0.5432 0 0 0.0645 605.7
"Isola Brissago, Mitte der Insel" 1987 "1987_4" NA 0 0 0.0123 0 196.9
"Isola Brissago, Nordspitze" 1992 "1992_2" 17 0 0 0.0123 0 193.4
"Isola Brissago, Nordspitze" 1993 "1993_1" 17 0 0 0.0123 0 193.4
"Isola Brissago, Südspitze" 1992 "1992_2" 17 0 0 0.0123 0 194.7
"Isola Brissago, Südspitze" 1993 "1993_1" 17 0 0 0.0123 0 194.7
"Isola Brissago, Westufer" 1992 "1992_2" 17 0 0 0.0123 0 196.9
"Isola Brissago, Westufer" 1993 "1993_1" 17 0 0 0.0123 0 196.9
"Klausenpass-Ost" 2016 "2016_3" 18 0.037 0.8025 0 0.0494 1801.6
"Klausenpass-Ost" 2017 "2017_3" 18 0.037 0.8025 0 0.0494 1801.6
"Klausenpass-Ost" 2018 "2018_3" 18 0.037 0.8025 0 0.0494 1801.6
